Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
FLETCHER BUILDING ORD FOR. EXEMPT NZX,FBU,17620027,1074897372,1.63922877
FLIGHT CENTRE TRAVEL ORDINARY,FLT,12261995,221911982,5.52561195
FOCUS MINERALS LTD ORDINARY,FML,5920,286558645,.00206589
FORTESCUE LTD ORDINARY,FMG,28931382,3078964918,.93964637
FRONTIER DIGITAL LTD ORDINARY,FDV,294524,433580197,.06792838
FRONTIER ENERGY LTD ORDINARY,FHE,310956,513793458,.0605216
FUTURE BATTERY ORDINARY,FBM,129337,665355928,.01943877
FUTURE GEN AUST ORDINARY,FGX,16051,409116676,.00392333
G8 EDUCATION LIMITED ORDINARY,GEM,12217064,809506134,1.50919968
GALAN LITHIUM LTD ORDINARY,GLN,8533855,728642580,1.17119905
GALENA MINING ORDINARY,G1A,1222301,752568687,.1624172
GALILEE ENERGY LTD ORDINARY,GLL,363192,557192880,.06518246
GALILEO MINING LTD ORDINARY,GAL,3783,197624927,.00191423
GDI PROPERTY GRP FPO/UNITS STAPLED,GDI,2773307,537445739,.51601619
GENERATION DEV GROUP ORDINARY,GDG,677151,297396211,.22769322
GENESIS MINERALS ORDINARY,GMD,76562791,1128548275,6.78418396
GENTRACK GROUP LTD ORD FOR.EXEMPT NZX,GTK,108405,103682177,.1045551
GEOPACIFIC RESOURCES ORDINARY,GPR,1,1183072421,.00000008
GOLD ROAD RES LTD ORDINARY,GOR,8353661,1084021090,.77061794
GOODMAN GROUP FPO/UNITS STAPLED,GMG,9953524,1911596423,.5206917
GPT GROUP FPO/UNITS STAPLED,GPT,4013212,1915577430,.20950403
GQG PARTNERS CDI1:1 USPROHEXCLQIB,GQG,3092539,2953383758,.10471172
GR ENGINEERING LTD ORDINARY,GNG,96225,167008472,.05761684
GRAINCORP LIMITED A CLASS ORDINARY,GNC,1655462,224336997,.73793535
GRANGE RESOURCES. ORDINARY,GRR,1865848,1157338698,.16121884
GREENTECHNOLOGY ORDINARY,GT1,8553,388752097,.00220012
GROWTHPOINT PROPERTY FPO/UNITS STAPLED,GOZ,1188386,754101302,.1575897
GUZMAN Y GOMEZ LTD ORDINARY,GYG,2502038,101463664,2.46594485
GWA GROUP LTD ORDINARY,GWA,3172389,265205113,1.19620205
HANSEN TECHNOLOGIES ORDINARY,HSN,1454392,203698854,.71399125
HARVEY NORMAN ORDINARY,HVN,38514455,1246006654,3.09103125
HASTINGS TECH MET ORDINARY,HAS,110039,180826134,.06085348
HAWSONS IRON LTD ORDINARY,HIO,130641,1016501368,.01285202
HAZER GROUP LIMITED ORDINARY,HZR,15,230112506,.00000652
HEALIUS ORDINARY,HLS,16798972,726132843,2.31348467
HEARTLAND GROUP ORD FOR.EXEMPT NZX,HGH,1359320,937419279,.14500662
HELIA GROUP LIMITED ORDINARY,HLI,3498093,276956964,1.26304569
HELLOWORLD TRAVL LTD ORDINARY,HLO,544969,162817624,.33471131
HIGHFIELD RES LTD ORDINARY,HFR,77622,449109874,.01728352
HIPAGES GROUP ORDINARY,HPG,19097,134045376,.01424667
HLTHCOHCWELLNSREIT ORDINARY UNITS,HCW,2083778,561002970,.37143796
HMC CAPITAL LIMITED ORDINARY,HMC,1901960,412271905,.46133631
HOMECO DAILY NEEDS ORDINARY UNITS,HDN,10153217,2081277596,.48783579
HORIZON OIL LIMITED ORDINARY,HZN,485854,1625301966,.02989315
HOTEL PROPERTY FPO/UNITS STAPLED,HPI,310568,196582693,.15798339
HUB24 LTD ORDINARY,HUB,728037,81172820,.89689751
HUMM GROUP LIMITED ORDINARY,HUM,6592966,491760853,1.34068541
IDP EDUCATION LTD ORDINARY,IEL,41106734,278336211,14.76873377
IGO LIMITED ORDINARY,IGO,23523482,757267813,3.10636232
ILUKA RESOURCES ORDINARY,ILU,13171969,428238686,3.07584752
IMDEX LIMITED ORDINARY,IMD,13876605,511841821,2.71111199
IMEXHS LIMITED ORDINARY,IME,1,45620066,.00000219
IMMUTEP LTD ORDINARY,IMM,22126487,1454567846,1.52117256
IMPEDIMED LIMITED ORDINARY,IPD,10002021,2023556813,.49427923
IMUGENE LIMITED ORDINARY,IMU,449763713,7438310643,6.04658416
INCITEC PIVOT ORDINARY,IPL,3459370,1892101721,.18283214
INFOMEDIA LTD ORDINARY,IFM,219486,375787000,.05840702
INFRATIL LIMITED. ORD FOR.EXEMPT NZX,IFT,1504195,966542280,.1556264
INGENIA GROUP FPO/UNITS STAPLED,INA,3943855,407583264,.96761947
INGHAMS GROUP ORDINARY,ING,10736603,371679601,2.88867158
INSIGNIA FINANCIAL ORDINARY,IFL,14046114,670726143,2.09416528
INSURANCE AUSTRALIA ORDINARY,IAG,11647893,2366287096,.49224344
INTEGRAL DIAGNOSTICS ORDINARY,IDX,11768424,233961997,5.03005794
INTEGRATED RESEARCH ORDINARY,IRI,1461,177352708,.00082378
INTELLIGENT MONITOR ORDINARY,IMB,459100,301809817,.15211566
INVICTUS ENERGY LTD ORDINARY,IVZ,2655538,1516442238,.17511633
IONEER LTD ORDINARY,INR,97272457,2355557516,4.12948766
IONIC RARE EARTHS ORDINARY,IXR,2871134,4869762647,.0589584
IPD GROUP ORDINARY,IPG,179171,103693582,.1727889
IPERIONX LIMITED ORDINARY,IPX,1954897,294702637,.66334561
IPH LIMITED ORDINARY,IPH,1760997,275611612,.63894151
IRESS LIMITED ORDINARY,IRE,918335,186789474,.49164173
ISHARES S&P/ASX 200. ETF UNITS,IOZ,123634,187198983,.06604416
JAMES HARDIE INDUST CHESS DEPOSITARY INT,JHX,2952146,429459768,.68740921
JB HI-FI LIMITED ORDINARY,JBH,2464325,109333981,2.25394244
JERVOIS GLOBAL LTD ORDINARY,JRV,1382625,2702763785,.05115597
JOHNS LYNG GROUP ORDINARY,JLG,18588453,281293351,6.60820916
JOYCE CORPORATION ORDINARY,JYC,145,29569269,.00049037
JUDO CAP HOLDINGS ORDINARY,JDO,30443652,1117314008,2.72471765
JUMBO INTERACTIVE ORDINARY,JIN,371376,62754656,.59179035
JUNO ORDINARY,JNO,9370,181945260,.0051499
JUPITER MINES. ORDINARY,JMS,192043,1960505319,.00979559
KAROON ENERGY LTD ORDINARY,KAR,67733633,779344840,8.69109918
KELLY PARTNERS GROUP ORDINARY,KPG,102242,44950000,.22745717
KELSIAN GROUP LTD ORDINARY,KLS,11436221,271139941,4.21782971
KGL RESOURCES LTD ORDINARY,KGL,354881,648113048,.05475603
KINA SECURITIES LTD ORDINARY,KSL,388,287949279,.00013475
KINGSGATE CONSOLID. ORDINARY,KCN,4682456,257751692,1.81665384
KMD BRANDS LIMITED ORD FOR.EXEMPT NZX,KMD,1246048,711667484,.17508851
KOGAN.COM LTD ORDINARY,KGN,1286490,99930727,1.28738181
KORE POTASH PLC CDI 1:1,KP2,737,682037963,.00010806
KUNIKOLIMITED ORDINARY,KNI,65372,86769268,.07534004
LACHLAN STAR LTD ORDINARY,LSA,1,250973195,.0000004
LAKE RESOURCES ORDINARY,LKE,15536325,1737125993,.8943695
LARVOTTORESOURCES ORDINARY,LRV,783630,335562883,.23352702
LATIN RESOURCES LTD ORDINARY,LRS,57169595,2801419463,2.0407367
LENDLEASE GROUP FPO/UNITS STAPLED,LLC,23123706,690047208,3.35103247
